Lab_No,Sex,Age,Town,Range,Section,Tag_Date,TB+
253431,male,1.5,29N,05E,32,2005-11-28,Neg
253326,male,2.5,30N,05E,10,2004-12-03,Neg
253327,male,3.5,29N,07E,28,2004-12-03,Neg
253328,male,1.5,29N,07E,6,2004-12-03,Neg
253329,female,5.5,29N,07E,28,2004-12-03,Neg
253330,male,3.5,30N,05E,35,2004-12-03,Neg
253344,male,1.5,31N,06E,22,2004-12-06,Neg
253348,female,3.5,28N,06E,9,2005-01-03,Neg
253353,male,1.5,30N,06E,9,2004-12-11,Neg
253355,male,2.5,30N,05E,22,2004-12-11,Neg
253312,male,1.5,30N,06E,12,2004-12-03,Neg
253519,female,2.5,30N,05E,36,2004-11-29,Neg
253483,female,4.5,30N,07E,33,2005-11-28,Neg
253486,female,1.5,30N,06E,17,2005-11-29,Neg
253487,male,2.5,30N,04E,17,2005-11-29,Neg
253490,male,1.5,29N,06E,10,2005-11-29,Neg
253491,female,4.5,30N,06E,36,2005-11-29,Neg
253493,male,5.5,28N,04E,23,2005-11-28,Neg
253498,female,3.5,30N,06E,16,2005-11-28,Neg
253499,female,1.5,28N,06E,14,2005-11-28,Neg
253429,female,2.5,30N,07E,17,2005-11-28,Neg
253510,male,2.5,31N,05E,27,2004-11-17,Neg
253474,male,2.5,30N,06E,15,2005-11-29,Neg
253520,female,3.5,29N,04E,16,2004-11-28,Neg
253521,male,3.5,29N,04E,16,2004-11-27,Neg
253552,female,6.5,30N,06E,17,2006-11-29,Neg
253553,female,2.5,28N,06E,11,2006-12-11,Neg
253554,female,9.5,28N,06E,11,2006-12-11,Neg
253563,male,1.5,30N,06E,3,2006-12-12,Neg
253566,female,1.5,30N,06E,7,2006-12-12,Neg
253570,male,1.5,31N,05E,36,2006-12-12,Neg
257019,male,1.5,31N,07E,31,2004-11-16,Neg
253505,female,1.5,29N,05E,12,2004-10-31,Neg
253454,female,1.5,29N,07E,29,2005-11-29,Neg
253291,male,2.5,30N,06E,3,2004-11-30,Neg
253432,male,1.5,29N,05E,32,2005-11-28,Neg
253439,male,1.5,30N,06E,1,2005-11-28,Neg
253440,female,1.5,30N,06E,1,2005-11-28,Neg
253441,male,1.5,27N,06E,12,2005-11-28,Neg
253447,male,2.5,29N,06E,12,2005-11-28,Neg
253448,male,1.5,29N,07E,28,2005-11-28,Neg
253449,female,3.5,30N,06E,5,2005-11-28,Neg
253451,female,1.5,31N,05E,31,2005-11-29,Neg
253477,male,3.5,31N,06E,24,2005-11-28,Neg
253453,female,3.5,31N,05E,31,2005-11-29,Neg
253476,male,1.5,31N,06E,24,2005-11-28,Neg
253455,male,1.5,29N,06E,11,2005-11-29,Neg
253461,female,5.5,30N,06E,16,2005-11-29,Neg
253462,male,1.5,30N,06E,10,2005-11-30,Neg
253465,male,2.5,30N,06E,15,2005-11-29,Neg
253468,male,1.5,29N,07E,30,2005-11-29,Neg
253471,male,2.5,30N,07E,19,2005-11-29,Neg
253472,male,2.5,30N,07E,19,2005-11-29,Neg
253473,male,1.5,28N,04E,11,2005-11-30,Neg
253430,male,2.5,31N,06E,27,2005-11-28,Neg
253452,female,1.5,31N,05E,31,2005-11-29,Neg
253121,male,1.5,30N,06E,23,2004-11-23,Neg
253075,male,1.5,26N,06E,11,2004-11-21,Neg
253077,male,1.5,30N,07E,5,2004-11-22,Neg
253081,male,3.5,29N,06E,7,2004-11-22,Neg
253091,female,1.5,30N,05E,16,2004-11-22,Neg
253092,female,2.5,30N,05E,16,2004-11-22,Neg
253094,male,1.5,30N,06E,14,2004-11-22,Neg
253095,male,4.5,29N,07E,16,2004-11-22,Neg
253096,male,1.5,30N,07E,21,2004-11-22,Neg
253176,male,1.5,30N,06E,26,2004-11-24,Neg
253110,male,1.5,28N,07E,5,2004-11-23,Neg
253060,female,1.5,30N,05E,12,2004-11-21,Neg
253122,male,1.5,30N,05E,24,2004-11-23,Neg
253123,male,2.5,29N,05E,14,2004-11-23,Neg
253128,Q,1.5,30N,05E,35,2004-11-23,Neg
253130,male,3.5,29N,06E,3,2004-11-23,Neg
253131,male,1.5,30N,07E,6,2004-11-23,Neg
253140,male,2.5,30N,05E,13,2004-11-23,Neg
253157,female,1.5,30N,06E,32,2004-11-24,Neg
253161,female,1.5,30N,06E,12,2004-11-27,Neg
253293,male,1.5,30N,05E,12,2004-11-30,Neg
253097,male,1.5,30N,07E,21,2004-11-22,Neg
253035,male,2.5,29N,04E,35,2004-11-20,Neg
252663,male,1.5,30N,06E,29,2006-11-15,Neg
253005,male,3.5,29N,06E,12,2004-11-20,Neg
253008,male,1.5,29N,05E,29,2004-11-20,Neg
253010,male,1.5,30N,07E,17,2004-11-20,Neg
253011,male,1.5,29N,05E,31,2004-11-20,Neg
253018,male,1.5,30N,07E,19,2004-11-20,Neg
253019,male,4.5,30N,07E,19,2004-11-20,Neg
253025,male,2.5,30N,06E,21,2004-11-20,Neg
253027,male,1.5,29N,06E,1,2004-11-20,Neg
253067,male,2.5,30N,06E,29,2004-11-21,Neg
253032,female,2.5,29N,05E,5,2004-11-20,Neg
253061,female,0.5,30N,05E,12,2004-11-21,Neg
253042,male,2.5,30N,06E,16,2004-11-20,Neg
253044,female,7.5,30N,06E,32,2004-11-21,Neg
253047,male,1.5,29N,06E,Q,2004-11-21,Neg
253048,female,3.5,26N,06E,11,2004-11-21,Neg
253049,male,3.5,30N,06E,10,2004-11-21,Neg
253051,female,5.5,31N,05E,29,2004-11-21,Neg
253053,male,1.5,31N,06E,32,2004-11-21,Neg
253057,male,2.5,29N,06E,27,2004-11-21,Neg
253180,male,2.5,28N,06E,11,2004-11-24,Neg
253030,male,1.5,28N,05E,20,2004-11-20,Neg
253273,male,1.5,30N,06E,1,2004-11-29,Neg
253249,female,4.5,29N,06E,3,2004-11-28,Neg
253251,female,5.5,28N,05E,20,2004-11-29,Neg
253253,male,3.5,29N,06E,16,Q,Neg
253254,male,2.5,31N,06E,36,2004-11-29,Neg
253256,male,1.5,31N,06E,24,2004-11-29,Neg
253261,male,2.5,29N,06E,22,2004-11-29,Neg
253262,male,1.5,30N,06E,23,2004-11-29,Neg
253266,male,1.5,29N,07E,16,2004-11-29,Neg
253170,female,4.5,30N,06E,5,2004-11-27,Neg
253272,male,1.5,30N,06E,1,2004-11-29,Neg
253244,male,4.5,28N,04E,11,2004-11-28,Neg
253275,male,3.5,29N,04E,16,2004-11-29,Neg
253278,male,2.5,29N,06E,4,2004-11-30,Neg
253280,male,2.5,30N,06E,14,2004-11-30,Neg
253281,female,4.5,28N,06E,11,2004-11-30,Neg
253283,male,3.5,28N,04E,13,2004-11-30,Neg
253284,male,3.5,28N,06E,8,2004-11-30,Neg
253289,female,3.5,31N,06E,36,2004-11-30,Neg
253290,male,1.5,30N,06E,3,2004-11-30,Neg
253003,female,2.5,29N,06E,12,2004-11-20,Neg
253271,male,2.5,30N,06E,1,2004-11-29,Neg
253210,male,3.5,29N,06E,17,2004-11-26,Neg
253181,male,5.5,29N,04E,16,2004-11-24,Neg
253182,male,4.5,29N,04E,16,2004-11-24,Neg
253183,male,2.5,27N,07E,18,2004-11-24,Neg
253190,female,8.5,31N,05E,32,2004-11-26,Neg
253192,male,0.5,30N,04E,12,2004-11-26,Neg
253201,male,1.5,28N,07E,18,2004-11-27,Neg
253204,female,4.5,28N,05E,10,2004-11-27,Neg
253205,female,1.5,29N,07E,30,2004-11-27,Neg
253206,male,1.5,30N,06E,28,2004-11-27,Neg
253246,male,1.5,31N,05E,26,2004-11-28,Neg
253209,male,1.5,30N,05E,36,2004-11-26,Neg
253245,male,3.5,29N,06E,23,2004-11-28,Neg
253212,male,2.5,30N,06E,24,2004-11-26,Neg
253216,male,1.5,31N,06E,34,2004-11-26,Neg
253221,male,1.5,31N,05E,36,2004-11-26,Neg
253230,female,3.5,29N,06E,36,2004-11-27,Neg
253232,female,1.5,29N,04E,15,2004-11-27,Neg
253234,male,1.5,28N,07E,3,2004-11-27,Neg
253241,male,1.5,30N,06E,25,2004-11-28,Neg
253243,female,8.5,30N,05E,13,2004-11-28,Neg
253292,male,1.5,30N,06E,3,2004-11-30,Neg
253207,female,3.5,28N,06E,17,2004-11-26,Neg
243692,male,2.5,28N,08E,19,2004-11-18,Neg
245661,male,1.5,29N,04E,29,2008-12-01,Neg
243659,male,2.5,27N,07E,4,2005-11-21,Neg
243660,female,4.5,27N,07E,4,2005-11-21,Neg
243661,male,1.5,27N,07E,7,2005-11-22,Neg
243662,male,1.5,28N,07E,20,2005-11-22,Neg
243663,male,1.5,29N,07E,19,2005-11-22,Neg
243664,male,3.5,29N,05E,33,2005-11-22,Neg
243670,male,1.5,30N,06E,28,2005-11-23,Neg
243647,male,1.5,28N,05E,21,2007-11-08,Neg
243673,male,2.5,27N,07E,27,2005-11-28,Neg
243628,female,1.5,27N,04E,21,2005-12-01,Neg
243705,female,4.5,27N,03E,13,2007-11-19,Neg
243709,female,1.5,28N,07E,20,2007-11-20,Neg
243714,female,1.5,27N,07E,25,2007-11-21,Neg
243718,female,1.5,28N,06E,11,2007-11-26,Neg
243723,female,4.5,28N,06E,14,2004-10-12,Neg
243728,female,2.5,28N,05E,7,2007-11-26,Neg
243730,female,1.5,28N,07E,28,2007-11-27,Neg
243733,male,1.5,27N,07E,19,2007-11-28,Neg
243739,male,2.5,30N,06E,20,2007-11-29,Neg
243671,male,1.5,30N,06E,28,2005-11-23,Neg
243568,female,1.5,28N,06E,12,2007-10-16,Neg
243438,female,4.5,28N,05E,7,2004-12-21,Neg
243443,male,1.5,29N,04E,14,2005-01-19,Neg
243503,male,1.5,28N,07E,11,2003-11-03,Neg
243530,female,2.5,30N,04E,20,2016-12-03,Neg
243532,female,4.5,29N,04E,4,2015-11-25,Neg
243540,female,0.5,30N,04E,9,2018-10-29,Neg
243561,male,1.5,29N,05E,28,2006-12-26,Neg
243562,female,7.5,28N,05E,25,2007-01-03,Neg
243648,female,2.5,27N,04E,8,2007-11-19,Neg
243567,female,3.5,28N,06E,12,2007-10-16,Neg
243791,female,3.5,29N,04E,4,2015-11-25,Neg
243569,female,2.5,28N,06E,12,2007-10-16,Neg
243572,male,1.5,27N,03E,14,2007-10-17,Neg
243573,female,5.5,27N,07E,30,2007-10-29,Neg
243590,female,3.5,28N,05E,16,2005-01-03,Neg
243602,female,1.5,30N,04E,7,2004-11-19,Neg
243603,female,6.5,27N,04E,6,2004-11-22,Neg
243604,female,1.5,27N,04E,6,2004-11-22,Neg
243606,male,2.5,28N,06E,8,2004-11-22,Neg
243627,male,1.5,27N,04E,21,2005-12-01,Neg
243566,male,2.5,28N,06E,12,2007-10-16,Neg
244928,male,1.5,30N,04E,23,2003-11-17,Neg
244810,female,2,27N,07E,31,2008-09-22,Neg
244827,female,1.5,27N,07E,15,2003-11-18,Neg
244835,female,9.5,28N,07E,19,2006-12-13,Neg
244836,female,2.5,28N,07E,19,2006-12-13,Neg
244837,female,1.5,28N,07E,19,2006-12-13,Neg
244871,female,4.5,28N,06E,24,2003-11-18,Neg
244875,female,1.5,27N,03E,2,2003-11-17,Neg
244891,male,2.5,30N,04E,17,2003-11-18,Neg
243741,male,1.5,28N,06E,17,2007-11-29,Neg
244927,male,3.5,30N,04E,23,2003-11-17,Neg
244770,female,5.5,27N,07E,3,2005-11-20,Neg
244947,female,0.5,28N,07E,32,2007-11-17,Neg
244962,male,2.5,31N,06E,30,2003-11-17,Neg
244984,female,1.5,27N,07E,26,2003-11-17,Neg
244987,male,2.5,27N,03E,13,2003-11-17,Neg
245099,male,2.5,28N,06E,2,2003-11-18,Neg
245149,female,3.5,28N,06E,8,2005-11-20,Neg
245425,male,3.5,28N,07E,29,2003-11-17,Neg
245550,male,2.5,29N,04E,29,2003-11-20,Neg
252669,male,1.5,29N,06E,5,2006-11-16,Neg
244914,male,1.5,27N,07E,20,2003-11-18,Neg
244343,male,3.5,29N,03E,13,2008-11-16,Neg
243371,female,9.5,27N,05E,1,2007-01-03,Neg
243799,female,4.5,27N,06E,14,2016-11-27,Neg
243840,male,3.5,30N,06E,23,2018-11-29,Neg
243872,male,1.5,27N,07E,19,2007-01-23,Neg
244165,female,3.5,27N,07E,11,2005-11-17,Neg
244184,male,2.5,30N,06E,12,2007-11-21,Neg
244193,female,2.5,28N,04E,33,2003-11-17,Neg
244266,female,3.5,26N,06E,8,2006-11-19,Neg
244327,male,1.5,30N,04E,31,2008-11-16,Neg
244798,male,2.5,29N,05E,12,2007-11-16,Neg
244342,male,2.5,29N,03E,13,2008-11-16,Neg
244797,female,3.5,29N,06E,7,2007-11-16,Neg
244345,female,2.5,30N,04E,12,2008-11-16,Neg
244507,female,4.5,29N,04E,20,2003-11-16,Neg
244520,female,1.5,28N,07E,29,2003-11-16,Neg
244551,female,1.5,30N,04E,12,2003-11-23,Neg
244552,female,1.5,30N,04E,12,2003-11-23,Neg
244600,female,10.5,28N,05E,6,2016-11-21,Neg
244742,female,4.5,30N,04E,12,2007-11-16,Neg
244744,female,1.5,30N,04E,10,2007-11-16,Neg
243742,male,2.5,28N,06E,17,2007-11-29,Neg
244330,male,2.5,31N,06E,35,2008-11-16,Neg
242984,female,7.5,29N,06E,31,2011-11-20,Neg
242955,female,4.5,28N,06E,11,2010-12-01,Neg
242956,male,3.5,29N,05E,26,2010-12-21,Neg
242962,male,1.5,27N,04E,6,2011-11-21,Neg
242963,female,9.5,30N,05E,1,2011-11-20,Neg
242965,female,5.5,28N,07E,32,2017-11-29,Neg
242969,female,1.5,28N,07E,20,2011-11-21,Neg
242972,female,3.5,28N,07E,29,2014-11-18,Neg
242978,male,1.5,28N,07E,29,2011-11-18,Neg
243134,male,1.5,28N,06E,27,2007-11-20,Neg
242982,male,3.5,27N,07E,25,2011-11-20,Neg
242951,male,2.5,31N,05E,32,2018-11-20,Neg
242988,female,9.5,28N,07E,32,2018-11-19,Neg
242989,male,5.5,28N,06E,32,2018-11-19,Neg
243084,male,1.5,28N,07E,20,2006-11-27,Neg
243092,male,2.5,29N,06E,22,2006-12-06,Neg
243095,female,2.5,28N,05E,6,2006-12-11,Neg
243099,female,2.5,28N,05E,6,2006-12-11,Neg
243100,male,1.5,27N,07E,27,2007-11-18,Neg
243111,male,3.5,27N,06E,19,2015-11-17,Neg
243431,female,1.5,30N,04E,9,2004-12-02,Neg
242981,male,2.5,27N,04E,6,2011-11-21,Neg
242898,male,2.5,27N,07E,27,2007-10-29,Neg
242877,male,2.5,27N,04E,4,2004-11-27,Neg
242878,female,2.5,27N,04E,4,2004-11-27,Neg
242879,male,3.5,27N,04E,4,2004-11-27,Neg
242883,male,4.5,27N,06E,6,2005-11-27,Neg
242884,male,1.5,27N,06E,6,2005-11-27,Neg
242888,male,1.5,28N,07E,20,2006-11-19,Neg
242889,male,1.5,28N,07E,20,2006-11-19,Neg
242892,male,1.5,27N,06E,19,2006-11-29,Neg
242893,male,1.5,27N,06E,19,2006-11-29,Neg
242954,female,1.5,27N,07E,25,2014-11-26,Neg
242895,female,4.5,30N,05E,26,2006-12-12,Neg
242953,male,2.5,27N,07E,25,2014-11-26,Neg
242899,male,1.5,28N,07E,32,2007-11-18,Neg
242900,male,0.5,30N,05E,5,2007-11-24,Neg
212995,male,2.5,29N,06E,36,2002-10-07,Neg
242921,male,1.5,27N,06E,6,2005-11-27,Neg
275579,female,4.5,28N,07E,9,2009-12-21,Neg
242944,female,3.5,26N,07E,3,2009-11-30,Neg
242946,female,5.5,27N,06E,20,2009-11-30,Neg
242950,male,1.5,31N,05E,32,2018-11-20,Neg
243135,female,3.5,28N,06E,27,2007-11-20,Neg
242894,male,1.5,30N,05E,26,2006-12-12,Neg
243323,female,1.5,28N,08E,30,2003-11-24,Neg
243271,male,1.5,28N,06E,26,2004-11-19,Neg
243272,female,3.5,28N,06E,26,2004-11-19,Neg
243277,female,2.5,31N,06E,24,2003-12-08,Neg
243282,male,2.5,28N,04E,13,2004-11-18,Neg
243284,female,4.5,27N,07E,28,2004-10-15,Neg
243292,female,1.5,27N,05E,14,2004-11-17,Neg
243299,male,1.5,30N,05E,11,2004-10-14,Neg
243302,female,4.5,27N,03E,2,2003-11-19,Neg
243130,female,2.5,30N,05E,10,2007-10-24,Neg
243322,male,1.5,28N,08E,30,2003-11-24,Neg
243223,male,2.5,29N,06E,22,2007-11-21,Neg
243325,male,2.5,30N,05E,7,2003-10-02,Neg
243328,female,4.5,29N,06E,2,2003-12-02,Neg
243333,male,1.5,27N,07E,20,2003-11-26,Neg
243346,female,8.5,27N,05E,1,2003-12-03,Neg
243347,female,4.5,27N,07E,21,2003-12-04,Neg
243348,male,1.5,27N,07E,21,2003-12-04,Neg
243357,female,3.5,30N,05E,15,2006-11-29,Neg
243368,female,3.5,28N,07E,11,2007-01-03,Neg
245738,female,1.5,27N,07E,31,2005-11-27,Neg
243317,female,1.5,27N,06E,10,2003-11-24,Neg
243199,female,3.5,28N,07E,32,2007-12-17,Neg
243136,male,1.5,28N,06E,27,2007-11-20,Neg
243137,female,0.5,28N,06E,27,2007-11-20,Neg
243138,male,1.5,28N,06E,27,2007-11-20,Neg
243139,female,3.5,29N,06E,30,2007-11-20,Neg
243147,male,3.5,27N,07E,33,2007-11-29,Neg
243156,female,1.5,26N,06E,6,2011-10-27,Neg
243158,female,2.5,27N,06E,34,2017-11-14,Neg
243171,male,4.5,27N,06E,12,2018-11-24,Neg
243176,female,1.5,28N,07E,1,2007-11-06,Neg
243270,male,3.5,29N,06E,29,2004-11-19,Neg
243185,male,1.5,30N,06E,9,2007-11-30,Neg
243238,male,1.5,28N,07E,34,2003-11-18,Neg
243201,male,1.5,28N,06E,16,2007-10-30,Neg
243208,male,2.5,28N,07E,20,2007-11-19,Neg
243212,male,1.5,29N,06E,12,2005-12-04,Neg
243214,female,2.5,29N,06E,3,2007-12-05,Neg
243215,male,1.5,29N,06E,24,2007-11-28,Neg
243216,male,1.5,29N,06E,24,2007-11-28,Neg
243218,female,1.5,26N,06E,9,2007-11-27,Neg
243219,male,2.5,30N,05E,7,2007-11-27,Neg
243411,male,1.5,27N,04E,11,2006-10-06,Neg
243183,male,0.5,29N,07E,31,2007-11-30,Neg
250122,female,2.5,27N,04E,17,2007-11-19,Neg
245596,male,1.5,27N,07E,14,2003-11-29,Neg
249988,male,1.5,28N,07E,17,2003-11-19,Neg
249994,male,1.5,28N,07E,18,2003-11-19,Neg
250032,male,2.5,27N,06E,13,2005-11-18,Neg
250044,male,2.5,26N,07E,9,2005-11-19,Neg
250048,female,2.5,29N,07E,28,2005-11-21,Neg
250081,male,1.5,26N,06E,10,2005-11-27,Neg
250082,male,2.5,26N,06E,10,2005-11-27,Neg
249967,male,3.5,28N,07E,29,2003-11-17,Neg
2501,male,1.5,30N,05E,13,1999-10-04,Neg
249961,male,2.5,27N,06E,11,2003-11-17,Neg
250143,male,2.5,28N,06E,26,2006-11-30,Neg
250144,female,4.5,29N,07E,30,2006-11-26,Neg
250145,female,3.5,28N,04E,1,2008-11-25,Neg
250154,female,2.5,29N,06E,4,2007-11-21,Neg
250156,female,2.5,29N,06E,15,2007-11-21,Neg
250157,male,1.5,29N,06E,15,2007-11-21,Neg
250162,male,1.5,29N,05E,29,2007-11-23,Neg
250168,female,2.5,29N,05E,24,2007-11-25,Neg
2502,female,2.5,30N,06E,13,1999-10-04,Neg
250092,male,1.5,26N,06E,5,2006-11-06,Neg
249831,female,2.5,27N,07E,29,2003-10-14,Neg
249691,female,3.5,28N,07E,5,2003-11-17,Neg
249718,female,3.5,26N,07E,5,2003-11-16,Neg
249738,male,1.5,28N,07E,1,2003-11-17,Neg
249739,male,1.5,30N,05E,7,2003-11-17,Neg
249743,male,1.5,26N,06E,6,2003-11-17,Neg
249748,male,1.5,30N,05E,7,2003-11-17,Neg
249756,female,2.5,26N,06E,9,2003-11-19,Neg
249787,male,1.5,29N,07E,31,2003-10-13,Neg
249970,male,2.5,27N,07E,27,2003-11-18,Neg
249825,female,3.5,29N,05E,1,2003-10-05,Neg
250213,male,2.5,27N,07E,24,2003-11-22,Neg
249910,female,1.5,28N,07E,1,2003-11-18,Neg
249911,male,1.5,28N,07E,1,2003-11-18,Neg
249912,female,2.5,28N,07E,21,2003-11-18,Neg
249916,male,1.5,26N,07E,8,2003-11-18,Neg
249928,male,1.5,28N,07E,20,2003-11-17,Neg
249934,female,2.5,26N,06E,8,2003-11-17,Neg
249937,male,3.5,30N,05E,7,2003-11-17,Neg
249943,female,2.5,27N,07E,7,2003-11-17,Neg
249960,male,3.5,27N,06E,11,2003-11-17,Neg
249788,male,1.5,29N,07E,31,2003-10-13,Neg
251818,female,2.5,28N,04E,25,2011-11-18,Neg
251366,male,1.5,27N,07E,27,2006-11-08,Neg
251369,male,3.5,29N,05E,22,2005-11-25,Neg
251576,female,2.5,29N,04E,4,2006-11-20,Neg
251577,male,2.5,29N,04E,4,2006-11-20,Neg
251578,female,1.5,29N,04E,4,2006-11-20,Neg
251630,female,2.5,30N,07E,30,2006-11-18,Neg
251680,female,4.5,29N,07E,29,2010-11-28,Neg
251686,female,1.5,29N,05E,33,2009-11-29,Neg
250200,male,1.5,28N,05E,14,2003-11-20,Neg
251714,male,0.5,28N,07E,17,2013-11-06,Neg
251151,female,8,28N,06E,25,2008-09-29,Neg
251913,male,1.5,26N,06E,9,2007-11-21,Neg
251914,female,3.5,26N,06E,9,2007-11-21,Neg
251915,male,1.5,26N,06E,9,2007-11-21,Neg
251919,female,2.5,29N,06E,12,2007-11-30,Neg
251920,female,5.5,29N,06E,12,2007-11-30,Neg
251921,male,3.5,27N,06E,25,2007-11-30,Neg
252656,female,3.5,31N,06E,25,2006-11-15,Neg
252657,male,1.5,30N,06E,7,2006-11-15,Neg
253602,male,2.5,29N,06E,31,2004-11-15,Neg
2517,male,2.5,30N,05E,25,1999-10-07,Neg
250479,female,4.5,27N,06E,11,2003-12-19,Neg
249631,female,3.5,27N,07E,23,2003-11-23,Neg
250229,male,2.5,27N,06E,35,2003-11-17,Neg
250230,female,2.5,27N,06E,35,2003-11-17,Neg
250235,female,3.5,27N,06E,35,2003-11-18,Neg
250236,female,1.5,27N,06E,35,2003-11-18,Neg
250249,male,3.5,27N,06E,24,2003-11-19,Neg
2503,female,3.5,30N,06E,18,1999-10-04,Neg
250463,male,3.5,27N,06E,5,2003-11-25,Neg
250464,female,1.5,27N,06E,13,2003-11-25,Neg
251365,male,1.5,27N,06E,10,2005-11-29,Neg
250474,female,2.5,29N,05E,11,2003-12-04,Neg
251199,female,2.5,29N,07E,32,2005-11-23,Neg
250481,female,2.5,30N,06E,33,2003-12-23,Neg
250483,female,1.5,26N,06E,9,2004-01-06,Neg
250488,male,2.5,30N,04E,13,2005-11-29,Neg
250489,male,2.5,30N,04E,13,2005-11-29,Neg
250571,male,3.5,27N,06E,8,2007-11-27,Neg
2509,female,3.5,30N,06E,13,1999-10-04,Neg
25093,male,3.5,29N,04E,32,1999-11-24,Neg
2510,female,2.5,30N,06E,13,1999-10-04,Neg
250212,male,3.5,27N,07E,24,2003-11-22,Neg
250469,female,3.5,29N,05E,11,2003-12-04,Neg
248088,female,3.5,30N,06E,15,2004-11-22,Neg
246871,male,3.5,29N,06E,23,2004-11-24,Neg
246892,female,1.5,28N,05E,26,2006-11-16,Neg
247086,male,1.5,29N,04E,19,2008-12-03,Neg
247100,male,1.5,28N,05E,2,2013-12-03,Neg
247185,female,1.5,30N,06E,35,2015-11-17,Neg
247292,male,3.5,28N,04E,17,Q,Neg
247594,female,1.5,28N,06E,20,2006-11-20,Neg
247667,female,2.5,27N,07E,4,2004-11-21,Neg
248223,female,12.5,27N,04E,12,2008-01-07,Neg
248049,male,2.5,30N,07E,8,2004-12-02,Neg
246847,male,1.5,27N,06E,8,2004-11-22,Neg
248141,male,4.5,28N,04E,13,2004-12-06,Neg
248142,male,3.5,28N,04E,13,2004-12-06,Neg
248158,male,1.5,30N,04E,7,2003-11-29,Neg
248159,female,3.5,30N,04E,7,2003-11-29,Neg
248177,male,2.5,27N,07E,11,2009-12-03,Neg
248178,male,2.5,29N,06E,31,2009-12-07,Neg
248194,female,3.5,29N,06E,25,2009-12-02,Neg
248195,female,2.5,29N,04E,28,2009-12-02,Neg
249649,female,1.5,27N,07E,23,Q,Neg
247874,male,2.5,28N,04E,20,2003-11-19,Neg
246080,female,1.5,28N,05E,20,2009-11-21,Neg
245812,male,3.5,27N,07E,18,2003-12-02,Neg
245815,male,3.5,27N,07E,18,2003-12-02,Neg
245842,male,1.5,26N,06E,6,2003-12-20,Neg
245845,female,3.5,28N,06E,9,2003-12-21,Neg
245883,male,1.5,30N,07E,7,2003-11-20,Neg
245905,female,2.5,28N,05E,20,2003-11-21,Neg
246680,female,3.5,28N,05E,20,2003-12-10,Neg
245960,female,1.5,29N,07E,20,2003-10-20,Neg
246020,female,3.5,29N,06E,23,2003-11-16,Neg
246862,female,4.5,28N,04E,2,2004-11-22,Neg
246036,male,3.5,27N,07E,18,2003-11-18,Neg
246848,male,1.5,27N,06E,8,2004-11-22,Neg
246096,male,2.5,27N,07E,18,2009-11-23,Neg
246186,female,1.5,30N,05E,35,2009-11-21,Neg
246211,female,2.5,29N,07E,28,2009-11-16,Neg
246270,male,2.5,29N,04E,32,2003-11-17,Neg
246280,female,8.5,27N,06E,15,2003-11-19,Neg
246310,male,2.5,29N,06E,27,2003-11-19,Neg
246312,male,3.5,29N,06E,27,2003-11-19,Neg
246313,male,3.5,29N,06E,27,2003-11-19,Neg
248247,female,4.5,28N,04E,14,2005-01-06,Neg
246035,male,3.5,27N,07E,18,2003-11-18,Neg
249574,male,2.5,28N,06E,33,2005-11-18,Neg
249168,female,3.5,28N,05E,10,2008-11-25,Neg
249192,male,2.5,30N,04E,17,2004-12-17,Neg
249208,female,3.5,29N,04E,5,2003-12-18,Neg
249221,female,11.5,29N,05E,25,2003-12-30,Neg
249223,female,1.5,29N,06E,20,2004-10-06,Neg
249232,female,4.5,30N,07E,8,2004-11-19,Neg
24925,male,1.5,27N,04E,18,1999-11-17,Neg
249258,female,7.5,30N,07E,7,2004-12-02,Neg
248216,female,1.5,31N,06E,22,2003-12-02,Neg
249521,female,1.5,28N,07E,21,2003-11-16,Neg
249101,male,1.5,29N,06E,32,2003-12-02,Neg
249590,female,5.5,28N,07E,20,2004-11-27,Neg
249594,male,1.5,29N,07E,28,2004-11-27,Neg
249595,female,2.5,29N,07E,28,2004-11-27,Neg
249598,female,3.5,28N,05E,20,2004-11-27,Neg
249599,female,3.5,28N,05E,20,2004-11-27,Neg
249604,male,1.5,28N,07E,19,2003-11-21,Neg
249608,male,1.5,29N,07E,31,2003-11-22,Neg
249609,female,2.5,29N,07E,31,2003-11-22,Neg
252668,male,1.5,29N,06E,5,2006-11-16,Neg
249344,male,1.5,27N,05E,6,2004-10-05,Neg
249034,male,3.5,27N,05E,13,2008-11-21,Neg
248299,male,1.5,30N,04E,17,2003-11-24,Neg
248329,male,1.5,27N,05E,6,2003-11-25,Neg
248604,female,3.5,28N,06E,25,2003-11-26,Neg
248907,male,4.5,29N,05E,14,2006-12-14,Neg
248922,male,2.5,27N,05E,19,2006-11-21,Neg
248924,male,2.5,27N,07E,16,2006-11-21,Neg
248983,male,2.5,26N,06E,12,2003-11-24,Neg
249005,male,2.5,28N,04E,19,2006-11-30,Neg
249006,male,3.5,28N,03E,13,2006-11-29,Neg
249165,male,2.5,26N,06E,12,2008-11-24,Neg
249023,male,1.5,27N,06E,22,2006-10-22,Neg
249162,male,3.5,29N,06E,30,2008-11-22,Neg
249047,male,3.5,28N,07E,12,2008-11-03,Neg
249049,female,3.5,27N,06E,33,2008-10-30,Neg
24905,male,2.5,28N,05E,2,1999-11-19,Neg
249051,female,2.5,28N,04E,14,2008-12-30,Neg
249052,male,3.5,28N,05E,21,2008-12-23,Neg
